id,name,surname,rank,country
103082,Markus,Hantschk,95,GER
102821,Cecil,Mamiit,96,PHI
102179,Antony,Dupuis,97,FRA
103714,Andreas,Vinciguerra,98,SWE
101723,Magnus,Larsson,99,SWE
103454,Nicolas,Massu,100,CHI
102437,Adrian,Voinea,95,ROU
103294,Christophe,Rochus,81,BEL
103387,Paradorn,Srichaphan,94,THA
102494,Tomas,Behrend,100,GER
102987,Andre,Sa,90,BRA
103428,Juan Ignacio,Chela,74,ARG
103264,Mariano,Puerta,84,ARG
101969,Orlin,Stanoytchev,100,BUL
101885,Wayne,Arthurs,99,AUS
103181,Jiri,Vanek,94,CZE
102720,Tomas,Zib,99,CZE
102106,Davide,Sanguinetti,100,ITA
102860,Agustin,Calleri,100,ARG
102369,Julien,Boutter,93,FRA
102539,Bohdan,Ulihrach,96,CZE
103356,Michel,Kratochvil,94,SUI
103166,Vladimir,Voltchkov,69,BLR
102880,Alexander,Popp,74,GER
101902,Stephane,Huet,96,FRA
103193,Peter,Wessels,91,NED
103305,Daniel,Elsner,98,GER
103176,David,Sanchez,99,ESP
102231,Alex,Calatrava,85,ESP
103248,Harel,Levy,72,ISR
102135,Emilio,Benfele Alvarez,99,ESP
102607,Juan,Balcells,89,ESP
102153,German,Puentes,94,ESP
103420,Michal,Tabara,99,CZE
103694,Olivier,Rochus,74,BEL
101843,Sergi,Bruguera,97,ESP
103171,Raemon,Sluiter,99,NED
103909,Guillermo,Coria,94,ARG
102703,Hyung Taik,Lee,99,KOR
102911,Andrei,Stoliarov,97,RUS
104022,Mikhail,Youzhny,93,RUS
102205,Sebastien,Lareau,94,CAN
103990,Tommy,Robredo,98,ESP
102694,Lars,Burgsmuller,100,GER
103598,Xavier,Malisse,79,BEL
104053,Andy,Roddick,88,USA
104076,Jose,Acasuso,83,ARG
102817,Edwin,Kempes,99,NED
103188,Michael,Russell,88,USA
103709,Kristian,Pless,98,DEN
103786,Nikolay,Davydenko,94,RUS
103397,Alexandre,Simoni,99,BRA
103900,David,Nalbandian,92,ARG
103656,Albert,Montanes,98,ESP
103204,Hugo,Armando,100,USA
103484,James,Blake,96,USA
102887,Ramon,Delgado,97,PAR
102722,Attila,Savolt,99,HUN
102788,Jan,Vacek,72,CZE
103813,Jarkko,Nieminen,69,FIN
103566,Michael,Llodra,91,FRA
103487,Federico,Luzzi,98,ITA
103581,Flavio,Saretta,98,BRA
102809,Axel,Pretzsch,100,GER
103602,Fernando,Gonzalez,89,CHI
103789,Irakli,Labadze,99,GEO
103114,Martin,Lee,97,GBR
103758,Taylor,Dent,100,USA
102934,Nicolas,Coutelot,99,FRA
103174,Noam,Okun,95,ISR
102524,Neville,Godwin,100,RSA
102382,Julian,Knowle,97,AUT
103908,Paul Henri,Mathieu,75,FRA
103632,Luis,Horna,86,PER
103280,Martin,Verkerk,97,NED
103319,Jeff,Morrison,98,USA
103852,Feliciano,Lopez,78,ESP
103781,Jurgen,Melzer,99,AUT
103285,Radek,Stepanek,85,CZE
104068,Robby,Ginepri,98,USA
103970,David,Ferrer,84,ESP
103318,Zeljko,Krajan,94,CRO
103888,Mardy,Fish,94,USA
103133,Olivier,Mutis,99,FRA
101868,Dick,Norman,97,BEL
103408,Brian,Vahaly,97,USA
104339,Mario,Ancic,89,CRO
103444,Jean Rene,Lisnard,89,MON
103971,Karol,Beck,93,SVK
102565,Alexander,Waske,100,GER
104745,Rafael,Nadal,96,ESP
103835,Filippo,Volandri,98,ITA
103812,Victor,Hanescu,98,ROU
102381,Werner,Eschauer,97,AUT
103105,Ruben,Ramirez Hidalgo,92,ESP
