country,n_players,players
PER,1,['Jaime Yzaga']
SUI,5,"['Jakob Hlasek', 'Marc Rosset', 'Claudio Mezzadri', 'Roger Federer', 'George Bastl']"
CRO,4,"['Goran Ivanisevic', 'Goran Prpic', 'Bruno Oresar', 'Ivan Ljubicic']"
AUS,20,"['Wally Masur', 'Darren Cahill', 'Mark Woodforde', 'Jason Stoltenberg', 'Richard Fromberg', 'John Fitzgerald', 'Mark Kratzmann', 'Johan Anderson', 'Todd Woodbridge', 'Pat Cash', 'Simon Youl', 'Sandon Stolle', 'Jamie Morgan', 'Patrick Rafter', 'Michael Tebbutt', 'Scott Draper', 'Mark Philippoussis', 'Andrew Ilie', 'Lleyton Hewitt', 'Wayne Arthurs']"
NZL,2,"['Kelly Evernden', 'Brett Steven']"
URU,2,"['Marcelo Filippini', 'Diego Perez']"
ISR,2,"['Amos Mansdorf', 'Gilad Bloom']"
ITA,13,"['Paolo Cane', 'Omar Camporese', 'Claudio Pistolesi', 'Renzo Furlan', 'Cristiano Caratti', 'Stefano Pescosolido', 'Diego Nargiso', 'Gianluca Pozzi', 'Andrea Gaudenzi', 'Davide Sanguinetti', 'Marzio Martelli', 'Laurence Tieleman', 'Vincenzo Santopadre']"
BRA,7,"['Luiz Mattar', 'Cassio Motta', 'Jaime Oncins', 'Danilo Marcelino', 'Fernando Roese', 'Fernando Meligeni', 'Gustavo Kuerten']"
CZE,10,"['Martin Strelba', 'Karel Novacek', 'Milan Srejber', 'Petr Korda', 'Daniel Vacek', 'Slava Dosedel', 'David Rikl', 'Radomir Vasek', 'Bohdan Ulihrach', 'Jiri Novak']"
IND,2,"['Ramesh Krishnan', 'Leander Paes']"
NED,11,"['Mark Koevermans', 'Michiel Schapers', 'Paul Haarhuis', 'Tom Nijssen', 'Richard Krajicek', 'Jan Siemerink', 'Jacco Eltingh', 'Sjeng Schalken', 'Dennis Van Scheppingen', 'John Van Lottum', 'Peter Wessels']"
CAN,5,"['Andrew Sznajder', 'Grant Connell', 'Chris Pridham', 'Sebastien Lareau', 'Daniel Nestor']"
YUG,1,['Slobodan Zivojinovic']
GBR,4,"['Jeremy Bates', 'Greg Rusedski', 'Mark Petchey', 'Tim Henman']"
VEN,2,"['Nicolas Pereira', 'Maurice Ruah']"
FIN,2,"['Veli Paloheimo', 'Aki Rahunen']"
MEX,2,"['Luis Herrera', 'Leonardo Lavalle']"
POR,1,['Nuno Marques']
BEL,6,"['Eduardo Masso', 'Bart Wuyts', 'Johan Van Herck', 'Kris Goossens', 'Filip Dewulf', 'Xavier Malisse']"
JPN,1,['Shuzo Matsuoka']
UKR,2,"['Dimitri Poliakov', 'Andrei Medvedev']"
ZIM,2,"['Byron Black', 'Wayne Black']"
DEN,2,"['Kenneth Carlsen', 'Frederik Fetterlein']"
MAR,3,"['Younes El Aynaoui', 'Karim Alami', 'Hicham Arazi']"
COL,1,['Mauricio Hadad']
NOR,1,['Christian Ruud']
CHI,2,"['Marcelo Rios', 'Nicolas Massu']"
KEN,1,['Paul Wekesa']
ROU,3,"['Adrian Voinea', 'Andrei Pavel', 'Dinu Pescariu']"
HUN,1,['Sandor Noszaly']
BAH,1,['Mark Knowles']
ARM,1,['Sargis Sargsian']
CRC,1,['Juan Antonio Marin']
PAR,1,['Ramon Delgado']
PHI,1,['Cecil Mamiit']
BUL,1,['Orlin Stanoytchev']
BLR,1,['Max Mirnyi']
THA,1,['Paradorn Srichaphan']
